zipcode,visitors
12170,46
12170,N/A
12170,57
12173,22
12175,38
12180,49
12180,13
12180,N/A
12180,43
12180,47
12182,N/A
12182,55
12184,25
12187,13
12188,31
12188,24
12189,36
12189,107
12189,N/A
12196,19
12196,20
12197,195
12198,N/A
12198,11
12203,N/A
12203,50
12204,14
12205,226
12206,23
12208,12
12208,N/A
12208,N/A
12208,93
12211,52
12211,14
12211,N/A
12302,16
12302,17
12302,18
12303,31
12304,23
12306,N/A
12306,31
12306,138
12307,N/A
12309,76
12309,N/A
12309,22
12401,32
12401,N/A
12407,17
12414,21
12414,31
12428,30
12428,N/A
12430,59
12434,N/A
12466,18
12468,24
12474,26
12508,41
12508,N/A
12508,N/A
12524,22
12534,N/A
12542,N/A
12546,18
12548,N/A
12549,N/A
12553,17
12561,N/A
12561,42
12567,16
12569,18
12569,N/A
12572,81
12578,16
12580,N/A
12582,11
12589,15
12589,24
12594,43
12721,N/A
12748,20
12764,15
12771,14
12780,13
12783,31
12801,N/A
12801,21
12801,13
12801,N/A
12801,225
12803,14
12803,12
12804,32
12804,22
12804,14
12804,279
12808,80
12810,1149
12811,163
12812,N/A
12812,27
12814,150
12815,N/A
12815,4
12816,N/A
12817,344
12819,11
12819,68
12822,N/A
12824,59
12827,N/A
12827,15
12827,71
12828,80
12831,19
12831,40
12832,28
12832,23
12832,13
12833,35
12834,51
12835,116
12837,24
12838,14
12839,27
12839,144
12842,26
12843,255
12845,171
12846,33
12847,N/A
12847,N/A
12852,22
12852,83
12853,12
12853,45
12853,389
12856,47
12857,20
12859,N/A
12860,36
12865,9
12865,N/A
12866,89
12866,56
12866,13
12870,44
12878,1155
12883,59
12883,12
12883,13
12885,7062
12886,112
12887,15
12887,N/A
12887,227
12887,39
12901,3234
12901,N/A
12901,42
12901,180
12901,11
12910,63
12912,836
12912,19
12912,14
12913,2612
12914,18
12916,14
12917,N/A
12917,N/A
12918,127
12918,9
12919,104
12919,12
12920,10
12920,10
12921,57
12921,15
12921,50
12923,39
12924,74
12926,14
12928,25
12929,43
12930,308
12932,86
12934,21
12934,40
12934,66
12935,41
12935,53
12936,39
12939,N/A
12939,848
12941,225
12941,18
12941,20
12944,3291
12944,30
12945,1358
12946,N/A
12946,980
12946,27
12950,202
12952,104
12953,59
12953,631
12956,36
12956,19
12957,74
12958,63
12958,12
12959,24
12960,35
12960,19
12962,968
12962,10
12962,19
12962,22
12966,76
12969,N/A
12970,6
12970,N/A
12970,383
12972,11226
12972,33
12973,12
12974,N/A
12975,171
12975,N/A
12976,559
12977,41
12978,36
12978,30
12979,42
12979,16
12980,70
12981,260
12981,107
12983,20
12983,49
12983,16237
12985,1086
12985,14
12986,12
12986,689
12987,36
12989,828
12992,166
12992,64
12993,213
12993,59
12996,74
12996,N/A
12997,35
12997,132
12998,8
13021,198
13021,64
13021,12
13021,N/A
13021,N/A
13021,N/A
13026,19
13027,108
13027,17
13027,63
13027,45
13027,57
13029,N/A
13030,N/A
13030,N/A
13030,36
13031,15
13032,N/A
13032,12
13032,12
13032,189
13032,13
13032,377
13034,14
13035,N/A
13035,26
13035,N/A
13035,40
13035,24
13036,N/A
13036,46
13037,27
13037,16
13037,15
13039,34
13039,15
13039,13
13040,702
13040,9
13041,96
13041,N/A
13042,231
13042,90
13044,9
13045,18122
13045,39
13045,N/A
13045,16
13045,2
13052,116
13052,21
13053,656
13054,209
13054,452
13057,106
13057,43
13060,N/A
13062,58
13063,16
13068,1106
13069,15
13069,54
13069,7
13069,N/A
13071,17
13072,156
13073,3554
13074,8
13074,8
13077,6119
13077,12
13078,19
13078,N/A
13078,N/A
13078,13
13081,18
13082,N/A
13082,15
13084,106
13084,14
13087,65
13088,31
13088,20
13088,26
13090,281
13090,N/A
13090,14
13090,17
13090,58
13090,16
13092,511
13092,N/A
13101,593
13101,N/A
13102,71
13104,41
13104,40
13108,25
13110,55
13114,27
13114,N/A
13116,90
13118,813
13118,12
13122,105
13122,24
13122,27
13123,55
13123,13
13124,11
13124,40
13126,N/A
13126,16
13126,N/A
13126,N/A
13131,11
13132,N/A
13132,N/A
13134,59
13135,N/A
13135,N/A
13135,N/A
13136,25
13136,29
13140,N/A
13141,361
13142,N/A
13142,19
13143,N/A
13143,N/A
13144,16
13147,29
13148,14
13152,80
13155,17
13155,N/A
13155,64
13155,N/A
13157,80
13158,308
13159,876
13159,N/A
13160,N/A
13162,39
13162,27
13164,N/A
13164,13
13165,N/A
13166,10
13167,12
13167,23
13202,N/A
13203,N/A
13203,18
13203,16
13203,N/A
13204,77
13204,26
13205,N/A
13205,33
13206,44
13206,22
13206,30
13207,14
13208,26
13208,N/A
13208,N/A
13208,15
13208,17
13209,42
13209,18
13209,N/A
13209,64
13210,181
13210,37
13211,12
13211,N/A
13211,N/A
13212,21
13212,12
13212,21
13212,24
13212,17
13214,63
13214,26
13214,36
13215,31
13215,14
13219,29
13219,N/A
13224,N/A
13244,N/A
13301,13
13302,33
13303,234
13304,91
13304,9
13308,N/A
13308,933
13308,72
13309,619
13309,N/A
13309,10
13310,13
13310,57
13310,127
13312,15
13313,N/A
13315,317
13315,21
13316,1096
13316,31
13317,10
13317,39
13318,55
13318,18
13319,N/A
13319,14
13320,307
13320,16
13321,9
13321,24
13322,N/A
13322,N/A
13323,N/A
13323,15
13323,120
13323,303
13324,23
13324,N/A
13325,80
13326,6451
13326,N/A
13327,N/A
13327,N/A
13328,14
13328,74
13329,N/A
13332,16
13332,194
13332,14
13333,N/A
13334,N/A
13334,6
13335,139
13335,125
13337,307
13338,35
13338,17
13339,86
13340,103
13340,68
13342,45
13346,N/A
13346,N/A
13346,17
13346,18
13346,41
13348,2207
13350,13
13350,N/A
13350,27
13350,18
13353,43
13354,639
13355,N/A
13355,N/A
13357,64
13357,N/A
13357,35
13357,22
13361,13
13361,14
13363,881
13364,N/A
13364,16
13365,N/A
13365,10
13365,13
13367,16
13367,36
13368,85
13402,98
13403,160
13403,N/A
13406,24
13406,12
13407,12
13407,12
13407,26
13407,12
13408,N/A
13408,27
13408,58
13409,N/A
13409,36
13409,792
13411,144
13411,684
13411,25
13413,N/A
13413,12
13413,294
13413,126
13416,37
13417,N/A
13417,62
13417,N/A
13420,N/A
13420,21
13420,17
13420,16
13421,N/A
13421,785
13421,3632
13424,N/A
13424,118
13424,N/A
13425,51
13425,462
13428,28
13431,26
13433,66
13433,N/A
13435,88
13435,15
13435,N/A
13437,15
13437,46
13438,255
13438,13
13438,5
13439,320
13440,N/A
13440,13
13440,22521
13440,620
13440,12
13441,3
13450,34
13452,48
13452,N/A
13452,10
13454,25
13456,38
13456,12
13456,49
13456,24
13459,71
13459,18
13460,N/A
13460,747
13460,22
13461,74
13461,8021
13464,233
13468,41
13469,N/A
13469,115
13470,N/A
13471,847
13471,31
13473,12
13476,254
13476,10
13476,3046
13477,N/A
13477,111
13477,1142
13478,811
13478,1698
13480,79
13480,101
13482,28
13483,32
13483,5
13485,60
13485,N/A
13486,296
13488,17
13489,131
13490,N/A
13490,42
13490,26
13491,134
13491,N/A
13491,N/A
13492,N/A
13492,32
13492,N/A
13492,146
13492,90
13493,59
13494,N/A
13495,24
13501,N/A
13501,18
13501,496
13501,81
13501,N/A
13502,42
13502,21
13502,709
13502,17
13502,200
13601,N/A
13601,16
13601,N/A
13601,10481
13602,31
13603,169
13605,83
13606,N/A
13606,67
13607,N/A
13607,45
13608,12
13608,67
13612,156
13613,N/A
13615,75
13616,836
13617,43
13618,140
13619,11
13619,162
13622,21
13624,15
13624,62
13626,N/A
13626,40
13628,17
13630,15
13630,22
13632,10
13634,313
13635,11
13637,381
13638,9
13642,71
13646,181
13648,124
13648,12
13652,13
13654,N/A
13654,N/A
13655,39
13655,N/A
13656,86
13659,15
13662,75
13665,7
13667,9
13669,70
13669,9
13672,47
13673,97
13675,10
13676,38
13676,N/A
13679,N/A
13679,162
13681,N/A
13682,N/A
13684,12
13685,20
13685,20
13690,14
13691,160
13694,35
13696,N/A
13697,14
13697,91
13699,21
13730,44
13732,16
13732,N/A
13733,9
13733,168
13733,N/A
13734,N/A
13736,64
13738,46
13739,23
13743,20
13743,20
13743,10
13743,N/A
13746,27
13746,19
13748,12
13748,N/A
13750,84
13751,N/A
13752,20
13753,N/A
13754,21
13757,17
13760,39
13760,15
13760,17
13760,40
13775,24
13776,46
13777,14
13777,24
13778,25
13778,233
13780,222
13784,125
13787,N/A
13787,22
13790,63
13790,N/A
13790,N/A
13795,14
13795,37
13796,151
13796,33
13797,70
13801,64
13801,670
13803,820
13803,29
13807,1867
13808,54
13808,38
13809,474
13809,48
13810,286
13810,41
13811,23
13811,N/A
13812,N/A
13812,N/A
13813,89
13814,63
13815,42
13815,96
13815,14183
13815,9
13815,N/A
13815,9
13820,2086
13820,81
13820,48
13820,N/A
13825,38
13825,47
13827,28
13827,14
13827,N/A
13827,9
13827,N/A
13830,40
13830,1162
13832,359
13832,19
13834,84
13835,86
13835,12
13838,12
13838,N/A
13841,N/A
13841,66
13843,16
13843,596
13844,11
